subject,age,edad_estimada_random_forest,error_absoluto_random_forest
0,33,39.031385476918445,6.0313854769184445
1,33,43.301303320908,10.301303320907998
2,26,52.20930660383766,26.20930660383766
3,26,34.17604973281508,8.17604973281508
4,34,55.75775758487907,21.757757584879073
5,28,40.788418664805995,12.788418664805995
6,31,39.96000076804162,8.960000768041617
7,30,44.379318515731384,14.379318515731384
8,25,42.7258776568203,17.725877656820302
9,25,36.74807845426592,11.748078454265922
10,26,50.200564516768765,24.200564516768765
11,26,45.81759194978336,19.817591949783363
12,26,53.2960705205095,27.296070520509502
13,27,47.191578080156376,20.191578080156376
14,27,38.99410163177681,11.994101631776807
15,31,43.52712070731147,12.527120707311468
16,32,41.37585190885485,9.375851908854848
17,31,46.53821328371816,15.538213283718157
18,28,46.32851454089047,18.328514540890467
19,28,47.27042391953546,19.27042391953546
20,51,53.43714433125169,2.4371443312516874
21,51,61.83115341237731,10.831153412377311
22,56,60.15376702759694,4.153767027596942
23,50,68.42865432264108,18.42865432264108
24,54,61.517530808257156,7.517530808257156
25,56,54.89755987654449,1.1024401234555086
26,51,62.504958572197715,11.504958572197715
27,54,37.45565885388596,16.544341146114043
28,56,39.98883278999978,16.011167210000217
29,51,54.14521450403889,3.14521450403889
30,50,60.97128200097151,10.971282000971513
31,54,60.1958237113937,6.1958237113937
32,57,63.86846902180544,6.8684690218054385
33,60,76.07098579231625,16.07098579231625
34,54,79.24566343628776,25.245663436287757
35,57,55.743877741287086,1.2561222587129137
36,51,54.29079564874965,3.2907956487496506
37,52,79.68587213544176,27.685872135441755
38,51,62.902097484094696,11.902097484094696
40,67,63.800713838409784,3.1992861615902157
41,66,50.518624669473525,15.481375330526475
42,69,46.40148785800438,22.59851214199562
43,73,40.69407963779254,32.30592036220746
44,74,58.48718884316815,15.512811156831852
45,66,58.468777476112585,7.531222523887415
46,66,59.487365102296536,6.512634897703464
47,73,70.28789639446643,2.7121036055335708
48,67,72.68452013902936,5.68452013902936
49,67,54.83084270404584,12.169157295954157
50,71,60.711664981763604,10.288335018236396
51,70,70.04841560135276,0.04841560135275813
52,69,64.83169816222488,4.168301837775118
53,67,59.030786263460335,7.969213736539665
54,73,66.1268297274781,6.873170272521904
55,71,62.78100957542949,8.218990424570507
56,72,65.52119118900094,6.478808810999055
57,66,54.99822915963324,11.00177084036676
58,67,62.93561866973511,4.064381330264887
59,67,69.21087389115483,2.210873891154833
60,89,57.658123413336796,31.341876586663204
61,101,60.990896775297415,40.009103224702585
62,95,74.7800328423798,20.219967157620204
63,91,65.55231393290731,25.44768606709269
64,85,79.07851491590023,5.921485084099771
65,88,74.25955064911109,13.740449350888909
66,88,68.9975256124937,19.002474387506297
67,87,78.54474178472422,8.455258215275776
70,89,74.59219798512387,14.407802014876125
71,88,77.13897443742094,10.861025562579059
72,88,66.37069325620232,21.629306743797684
73,97,76.01284935076333,20.987150649236668
74,92,74.89584544398261,17.10415455601739
75,96,68.30358603844884,27.69641396155116
76,90,72.5451099330375,17.454890066962506
77,85,73.92799791864248,11.072002081357525
80,54,65.99780239250505,11.99780239250505
81,57,52.43510301000923,4.564896989990771
82,56,54.945044181957265,1.0549558180427354
