max_depth,max_features,min_samples_leaf,n_estimators,mae_cv,mae_std,rmse_cv,r2_cv
5.0,sqrt,1,500,13.169737526484488,2.018694800191757,15.46830892140243,0.48677729221403376
,sqrt,1,500,13.179503333333333,2.108831136196792,15.46301510751508,0.4869611000489719
,sqrt,1,200,13.190483333333336,2.274638343954909,15.570543652478765,0.48067506244360925
10.0,sqrt,1,500,13.192945091036687,2.101387320491882,15.47058618086707,0.48622230042620124
10.0,sqrt,1,200,13.234286672378548,2.2226526558791706,15.606701688415836,0.4776796579029738
5.0,sqrt,1,200,13.268834902545967,1.9512721897303544,15.566393712599943,0.48073697371111807
10.0,sqrt,2,200,13.275101289832856,2.1586242542467247,15.524579991588578,0.4815476662334759
,sqrt,2,200,13.275601289832855,2.1576578169840612,15.524809237940264,0.48153269614416716
10.0,sqrt,2,500,13.357422692696195,2.158477061934929,15.613424516473142,0.4750303522555791
,sqrt,2,500,13.358320789738041,2.1573265962835135,15.614261783845498,0.47498066912247294
5.0,sqrt,2,500,13.393862437974386,2.1122203508135833,15.618049164478828,0.4753947742002585
5.0,sqrt,2,200,13.394114308582413,2.1165647329319723,15.645025467190754,0.47387538672785656
5.0,sqrt,4,200,13.511817046435931,2.166200912647858,15.76842259150528,0.4652535857983825
,sqrt,4,200,13.517305111348255,2.169695630118634,15.775713615605472,0.4648567928626471
10.0,sqrt,4,200,13.517305111348259,2.1696956301186328,15.775713615605468,0.464856792862647
5.0,sqrt,4,500,13.52175577087684,2.037212068668799,15.78328095412293,0.4629151010951052
,sqrt,4,500,13.526039515523095,2.033103928542991,15.784556370863223,0.46297076271093934
10.0,sqrt,4,500,13.5260395155231,2.033103928542991,15.784556370863225,0.46297076271093934
