caracteristica,importancia
pct_N1,0.1878862682869261
eficiencia,0.12380098298356282
waso_min,0.09809207752843216
rel_beta,0.07323080999993165
abs_sigma,0.06346978582544092
abs_theta,0.05069689858417206
pct_REM,0.04701855440549339
pct_N3,0.04484915014233299
rel_sigma,0.043366187276739895
rel_alpha,0.041674011532827786
potencia_total_log,0.02556487195899922
tst_h,0.025501655981823298
abs_alpha,0.02453729120145577
pct_N2,0.023957168397568594
abs_beta,0.02260424511774407
sef95,0.02224034056369004
rel_delta,0.021367739635902574
rel_theta,0.020952356583423384
abs_delta,0.02038765701205384
latencia_rem_min,0.018801946981479536
