caracteristica,importancia
pct_sueno_en_N1,0.15434806252973154
mix_rel_beta_PzOz,0.12107812625874109
eficiencia,0.10684517504000177
minutos_despierto,0.08482078854783265
mix_rel_delta_PzOz,0.06548284632107258
pct_sueno_en_REM,0.060006830107765925
mix_sef95_PzOz,0.04815183394272597
mix_abs_delta_PzOz,0.0470038928538635
mix_rel_alpha_PzOz,0.04559360131639322
mix_potencia_total_log_PzOz,0.0425882136281043
pct_sueno_en_N3,0.03486016832644944
mix_abs_beta_PzOz,0.030039987604974377
mix_rel_theta_PzOz,0.027631938984819204
mix_rel_sigma_PzOz,0.02482263530614929
mix_abs_sigma_PzOz,0.02235498457814188
horas_dormidas,0.019067568241531094
pct_sueno_en_N2,0.018815406463993756
minutos_hasta_rem,0.01798660812657504
mix_abs_theta_PzOz,0.01752354280975098
mix_abs_alpha_PzOz,0.01097778901138238
