representacion,numero_features,max_depth,max_features,min_samples_leaf,n_estimators,mae_cv,mae_std,rmse_cv,r2_cv
B_PzOz,20,,sqrt,1,200,13.279352564102563,2.4079982003399087,14.99931528168043,0.4844811091223603
B_PzOz,20,10.0,sqrt,1,200,13.293383845321348,2.365354963714548,14.997104459937265,0.48528831980502635
B_PzOz,20,,sqrt,2,200,13.335940193833949,2.311404543546011,14.930577308490047,0.4885596671747733
B_PzOz,20,10.0,sqrt,2,200,13.335940193833949,2.311404543546014,14.930577308490047,0.48855966717477317
B_PzOz,20,5.0,sqrt,2,200,13.345817687885097,2.400694675261973,14.980383835936442,0.4843190773872289
B_PzOz,20,5.0,sqrt,4,200,13.351810626190362,2.2281965264461103,14.998902439744992,0.49176007428219837
B_PzOz,20,10.0,sqrt,4,200,13.353858396493422,2.2258175920361607,15.000048233923428,0.491687140257523
B_PzOz,20,,sqrt,4,200,13.353858396493422,2.2258175920361585,15.000048233923422,0.4916871402575233
B_PzOz,20,10.0,sqrt,1,500,13.40142655094905,2.3056322605114077,15.135994216828298,0.47484371009719445
B_PzOz,20,5.0,sqrt,4,500,13.412880952160283,2.3346368264005357,15.042523534878544,0.4851829215866058
B_PzOz,20,,sqrt,1,500,13.414569230769231,2.336752592569233,15.154413846868426,0.47330418927201556
B_PzOz,20,,sqrt,4,500,13.41588001199646,2.331243714674251,15.044445846907148,0.48506932618491144
B_PzOz,20,10.0,sqrt,4,500,13.41588001199646,2.3312437146742506,15.044445846907148,0.48506932618491144
B_PzOz,20,5.0,sqrt,1,200,13.442808585099005,2.2781783996600558,15.147717647756389,0.4748467421574098
B_PzOz,20,,sqrt,2,500,13.466152922540426,2.463229810937349,15.116107183090131,0.4747465069604436
B_PzOz,20,10.0,sqrt,2,500,13.466152922540427,2.4632298109373503,15.116107183090133,0.4747465069604434
B_PzOz,20,5.0,sqrt,2,500,13.494425088919224,2.5145520384210647,15.177451391969225,0.4708072708680627
B_PzOz,20,5.0,sqrt,1,500,13.496197984109722,2.3317289354406845,15.22011636827377,0.46893799184186485
C_AmbosCanales,32,10.0,sqrt,1,200,13.826261278998777,2.657770507673774,15.266521383412591,0.47086651797689133
C_AmbosCanales,32,,sqrt,1,200,13.82974358974359,2.7015557104180634,15.278111825354438,0.4701061676267056
C_AmbosCanales,32,5.0,sqrt,2,500,13.842025149867302,2.458334316401426,15.309647762173507,0.47188197774828006
C_AmbosCanales,32,,sqrt,2,500,13.843907043789542,2.439954515579071,15.335638215821257,0.46997138941091665
C_AmbosCanales,32,10.0,sqrt,2,500,13.84425982156732,2.4401885352422763,15.336138574912605,0.4699275437650513
A_FpzCz,20,5.0,sqrt,2,200,13.869271357049143,2.6171625225505215,15.344799709717046,0.4658172308264529
C_AmbosCanales,32,5.0,sqrt,2,200,13.881623886777572,2.4934282140781345,15.293603311296891,0.47203322492925953
C_AmbosCanales,32,5.0,sqrt,1,500,13.888224435005508,2.5057516586080197,15.422396714396001,0.4630732439120182
C_AmbosCanales,32,10.0,sqrt,1,500,13.896093924700654,2.501779420086898,15.413392166207291,0.4629308757416194
C_AmbosCanales,32,,sqrt,1,500,13.9027641025641,2.516581815020062,15.420470940641142,0.4624791589542028
A_FpzCz,20,10.0,sqrt,2,200,13.927506662781662,2.648120762090831,15.418396491904701,0.4591609462861331
A_FpzCz,20,,sqrt,2,200,13.927506662781662,2.648120762090835,15.418396491904701,0.4591609462861329
C_AmbosCanales,32,10.0,sqrt,4,500,13.956485007922558,2.343310628164213,15.419872487197106,0.4665860028624465
C_AmbosCanales,32,,sqrt,4,500,13.956485007922561,2.3433106281642146,15.419872487197106,0.4665860028624465
C_AmbosCanales,32,5.0,sqrt,4,500,13.957004463467015,2.342551692795514,15.420033153226289,0.466588352918117
A_FpzCz,20,5.0,sqrt,2,500,13.965065245638126,2.6907917847411924,15.48131741955791,0.4539289029055511
C_AmbosCanales,32,,sqrt,2,200,13.967903767991269,2.509127543229492,15.4093927445583,0.46355332027374585
C_AmbosCanales,32,10.0,sqrt,2,200,13.968785712435713,2.5097194175946362,15.410679406007919,0.4634409328629963
A_FpzCz,20,10.0,sqrt,2,500,13.997587563640064,2.648612110059351,15.506140868367385,0.45133087522454013
A_FpzCz,20,,sqrt,2,500,13.998348674751176,2.648577138300782,15.50689858988062,0.45129003012505436
C_AmbosCanales,32,,sqrt,4,200,14.00492334758107,2.394430890341789,15.477385152476606,0.461373187590673
C_AmbosCanales,32,10.0,sqrt,4,200,14.004923347581073,2.3944308903417895,15.477385152476606,0.461373187590673
C_AmbosCanales,32,5.0,sqrt,4,200,14.006221986442208,2.392467613203234,15.47692705346077,0.46142329057008535
A_FpzCz,20,5.0,sqrt,1,200,14.01769021807388,2.706665136270242,15.507598528995914,0.4557484950381106
A_FpzCz,20,,sqrt,1,200,14.025160256410254,2.6283130438288653,15.633957110025387,0.44845838055456594
C_AmbosCanales,32,5.0,sqrt,1,200,14.028008402012379,2.5948223297115445,15.584115001410655,0.45035632322547076
A_FpzCz,20,10.0,sqrt,1,200,14.032309673890925,2.613388261415666,15.650098046565216,0.4475081212763158
A_FpzCz,20,5.0,sqrt,4,200,14.18040331842669,2.2153972359245864,15.697986172546162,0.4457431587712491
A_FpzCz,20,,sqrt,4,200,14.181734820258194,2.2144949417899458,15.698207329111607,0.44572572734941696
A_FpzCz,20,10.0,sqrt,4,200,14.181734820258194,2.214494941789946,15.698207329111607,0.44572572734941707
A_FpzCz,20,5.0,sqrt,1,500,14.202117234168611,2.865575444795563,15.707537333799337,0.4395496552556444
A_FpzCz,20,5.0,sqrt,4,500,14.274073391253044,2.253174976715663,15.77776500434795,0.43933110607160125
A_FpzCz,20,,sqrt,4,500,14.275106115565768,2.2533147494397725,15.778261034305341,0.4392865400390312
A_FpzCz,20,10.0,sqrt,4,500,14.275106115565771,2.253314749439773,15.778261034305348,0.43928654003903106
A_FpzCz,20,,sqrt,1,500,14.319497435897436,2.859203142930052,15.885773853932445,0.42638073144343347
A_FpzCz,20,10.0,sqrt,1,500,14.32355159053365,2.848880944286531,15.889431725711583,0.42627508251881824
